Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature (F),Humidity
1,8/3/2023,33.4,53,582,6.4,1,92.12,0.53
1,8/4/2023,33.5,53,451,6.1,2,92.3,0.53
1,8/5/2023,33.4,59,678,6.4,3,92.12,0.59
1,8/6/2023,33.4,68,420,6.4,4,92.12,0.68
1,8/7/2023,33.4,74,637,6.5,5,92.12,0.74
1,8/8/2023,32.3,77,478,6.8,6,90.14,0.77
1,8/9/2023,32.3,75,682,6,7,90.14,0.75
1,8/10/2023,22.7,63,576,6.3,8,72.86,0.63
1,8/11/2023,31.9,69,662,6.1,9,89.42,0.69
1,8/12/2023,30.2,59,607,6.2,10,86.36,0.59
1,8/13/2023,30.1,77,670,6.5,11,86.18,0.77
1,8/14/2023,30.1,54,535,6.4,12,86.18,0.54
1,8/15/2023,30.1,78,480,6,13,86.18,0.78
1,8/16/2023,29.8,56,688,6.4,14,85.64,0.56
1,8/17/2023,29.6,62,653,6.6,15,85.28,0.62
1,8/18/2023,30.9,70,742,6.1,16,87.62,0.7
1,8/19/2023,30.8,57,580,6.2,17,87.44,0.57
1,8/20/2023,30.9,78,789,6.5,18,87.62,0.78
1,8/21/2023,30.2,63,516,6,19,86.36,0.63
1,8/22/2023,30.5,51,527,6.4,20,86.9,0.51
1,8/23/2023,30.8,57,669,6.2,21,87.44,0.57
1,8/24/2023,31.3,73,645,6.6,22,88.34,0.73
1,8/25/2023,31.4,52,744,6.8,23,88.52,0.52
1,8/26/2023,31.4,61,719,6.4,24,88.52,0.61
1,8/27/2023,30.1,77,589,6.7,25,86.18,0.77
1,8/28/2023,29.4,71,654,6.4,26,84.92,0.71
1,8/29/2023,28.7,64,451,6.4,27,83.66,0.64
1,8/30/2023,29.1,51,623,6.6,28,84.38,0.51
1,8/31/2023,29.2,55,680,6.7,29,84.56,0.55
1,9/1/2023,31.7,50,601,6.4,30,89.06,0.5
1,9/2/2023,31.7,52,603,6.7,31,89.06,0.52
1,9/3/2023,31.7,76,762,6.7,32,89.06,0.76
1,9/4/2023,31.7,55,517,6,33,89.06,0.55
1,9/5/2023,32,55,743,6.6,34,89.6,0.55
1,9/6/2023,32.1,76,709,6,35,89.78,0.76
1,9/7/2023,31.5,68,416,6.2,36,88.7,0.68
1,9/8/2023,29.8,68,577,6.3,37,85.64,0.68
1,9/9/2023,20.1,61,621,6.5,38,68.18,0.61
1,9/10/2023,31.1,64,478,6,39,87.98,0.64
1,9/11/2023,31.2,79,672,6.3,40,88.16,0.79
1,9/12/2023,31.2,62,576,6.7,41,88.16,0.62
1,9/13/2023,30.4,57,726,6.1,42,86.72,0.57
1,9/14/2023,29.1,75,636,6.8,43,84.38,0.75
1,9/15/2023,30.6,55,688,6.6,44,87.08,0.55
1,9/16/2023,31.5,68,637,6.2,45,88.7,0.68
2,8/3/2023,33.4,74,586,6.1,1,92.12,0.74
2,8/4/2023,33.5,65,433,6.8,2,92.3,0.65
2,8/5/2023,33.4,55,749,6.7,3,92.12,0.55
2,8/6/2023,33.4,68,680,6.8,4,92.12,0.68
2,8/7/2023,33.4,50,488,6.4,5,92.12,0.5
2,8/8/2023,32.3,78,697,6.3,6,90.14,0.78
2,8/9/2023,32.3,77,624,6.6,7,90.14,0.77
2,8/10/2023,22.7,57,593,6.5,8,72.86,0.57
2,8/11/2023,31.9,73,564,6.1,9,89.42,0.73
2,8/12/2023,30.2,65,416,6.6,10,86.36,0.65
2,8/13/2023,30.1,71,664,6.4,11,86.18,0.71
2,8/14/2023,30.1,65,746,6.8,12,86.18,0.65
2,8/15/2023,30.1,75,646,6.3,13,86.18,0.75
2,8/16/2023,29.8,58,413,6.5,14,85.64,0.58
2,8/17/2023,29.6,50,487,6.7,15,85.28,0.5
2,8/18/2023,30.9,79,564,6.2,16,87.62,0.79
2,8/19/2023,30.8,56,430,6.5,17,87.44,0.56
2,8/20/2023,30.9,71,527,6.2,18,87.62,0.71
2,8/21/2023,30.2,51,704,6.3,19,86.36,0.51
2,8/22/2023,30.5,62,732,6.3,20,86.9,0.62
2,8/23/2023,30.8,69,420,6.5,21,87.44,0.69
2,8/24/2023,31.3,54,608,6.3,22,88.34,0.54
2,8/25/2023,31.4,58,687,6.3,23,88.52,0.58
2,8/26/2023,31.4,64,529,6.2,24,88.52,0.64
2,8/27/2023,30.1,78,427,6.3,25,86.18,0.78
2,8/28/2023,29.4,57,780,6.4,26,84.92,0.57
2,8/29/2023,28.7,57,508,6.2,27,83.66,0.57
2,8/30/2023,29.1,58,603,6.6,28,84.38,0.58
2,8/31/2023,29.2,56,581,6.7,29,84.56,0.56
2,9/1/2023,31.7,56,622,6.4,30,89.06,0.56
2,9/2/2023,31.7,73,598,6.5,31,89.06,0.73
2,9/3/2023,31.7,57,597,6.2,32,89.06,0.57
2,9/4/2023,31.7,61,498,6,33,89.06,0.61
2,9/5/2023,32,63,569,6.4,34,89.6,0.63
2,9/6/2023,32.1,75,697,6.3,35,89.78,0.75
2,9/7/2023,31.5,77,627,6.6,36,88.7,0.77
2,9/8/2023,29.8,61,537,6.6,37,85.64,0.61
2,9/9/2023,20.1,63,785,6.3,38,68.18,0.63
2,9/10/2023,31.1,70,428,6.7,39,87.98,0.7
2,9/11/2023,31.2,56,797,6.8,40,88.16,0.56
2,9/12/2023,31.2,66,657,6.8,41,88.16,0.66
2,9/13/2023,30.4,75,473,6.6,42,86.72,0.75
2,9/14/2023,29.1,72,689,6.3,43,84.38,0.72
2,9/15/2023,30.6,52,681,6.3,44,87.08,0.52
2,9/16/2023,31.5,79,719,6.7,45,88.7,0.79
3,8/3/2023,33.4,51,667,6.2,1,92.12,0.51
3,8/4/2023,33.5,63,632,6.1,2,92.3,0.63
3,8/5/2023,33.4,65,636,6.7,3,92.12,0.65
3,8/6/2023,33.4,62,525,6.6,4,92.12,0.62
3,8/7/2023,33.4,65,735,6,5,92.12,0.65
3,8/8/2023,32.3,80,794,6.4,6,90.14,0.8
3,8/9/2023,32.3,80,691,6.2,7,90.14,0.8
3,8/10/2023,22.7,65,783,6.6,8,72.86,0.65
3,8/11/2023,31.9,62,531,6.7,9,89.42,0.62
3,8/12/2023,30.2,69,473,6.4,10,86.36,0.69
3,8/13/2023,30.1,55,745,6.1,11,86.18,0.55
3,8/14/2023,30.1,80,569,6.3,12,86.18,0.8
3,8/15/2023,30.1,63,743,6.3,13,86.18,0.63
3,8/16/2023,29.8,69,566,6.1,14,85.64,0.69
3,8/17/2023,29.6,53,671,6.6,15,85.28,0.53
3,8/18/2023,30.9,58,643,6.4,16,87.62,0.58
3,8/19/2023,30.8,67,682,6.6,17,87.44,0.67
3,8/20/2023,30.9,79,467,6.3,18,87.62,0.79
3,8/21/2023,30.2,58,714,6.7,19,86.36,0.58
3,8/22/2023,30.5,80,726,6.6,20,86.9,0.8
3,8/23/2023,30.8,79,780,6.1,21,87.44,0.79
3,8/24/2023,31.3,55,545,6.4,22,88.34,0.55
3,8/25/2023,31.4,74,630,6.6,23,88.52,0.74
3,8/26/2023,31.4,53,491,6.4,24,88.52,0.53
3,8/27/2023,30.1,80,661,6.7,25,86.18,0.8
3,8/28/2023,29.4,75,535,6.1,26,84.92,0.75
3,8/29/2023,28.7,73,629,6.6,27,83.66,0.73
3,8/30/2023,29.1,73,738,6.6,28,84.38,0.73
3,8/31/2023,29.2,69,758,6.2,29,84.56,0.69
3,9/1/2023,31.7,76,799,6.3,30,89.06,0.76
3,9/2/2023,31.7,75,577,6.2,31,89.06,0.75
3,9/3/2023,31.7,69,439,6.3,32,89.06,0.69
3,9/4/2023,31.7,50,516,6.5,33,89.06,0.5
3,9/5/2023,32,72,741,6.8,34,89.6,0.72
3,9/6/2023,32.1,72,492,6,35,89.78,0.72
3,9/7/2023,31.5,75,762,6.2,36,88.7,0.75
3,9/8/2023,29.8,78,525,6,37,85.64,0.78
3,9/9/2023,20.1,80,428,6.5,38,68.18,0.8
3,9/10/2023,31.1,79,794,6.3,39,87.98,0.79
3,9/11/2023,31.2,73,460,6.7,40,88.16,0.73
3,9/12/2023,31.2,69,403,6.6,41,88.16,0.69
3,9/13/2023,30.4,54,480,6.7,42,86.72,0.54
